Region,PDI,Date
Boucle du Mouhoun,0,05-02-2019
Cascades,0,05-02-2019
Centre,0,05-02-2019
Centre-Est,0,05-02-2019
Centre-Nord,14821,05-02-2019
Centre-Ouest,0,05-02-2019
Centre-Sud,0,05-02-2019
Est,0,05-02-2019
Hauts-Bassins,0,05-02-2019
Nord,2667,05-02-2019
Plateau Central,0,05-02-2019
Sahel,65092,05-02-2019
Sud-Ouest,0,05-02-2019
Boucle du Mouhoun,0,12-02-2019
Cascades,0,12-02-2019
Centre,0,12-02-2019
Centre-Est,0,12-02-2019
Centre-Nord,20355,12-02-2019
Centre-Ouest,0,12-02-2019
Centre-Sud,0,12-02-2019
Est,0,12-02-2019
Hauts-Bassins,0,12-02-2019
Nord,6600,12-02-2019
Plateau Central,0,12-02-2019
Sahel,74083,12-02-2019
Sud-Ouest,0,12-02-2019
Boucle du Mouhoun,0,14-03-2019
Cascades,0,14-03-2019
Centre,431,14-03-2019
Centre-Est,0,14-03-2019
Centre-Nord,30438,14-03-2019
Centre-Ouest,0,14-03-2019
Centre-Sud,0,14-03-2019
Est,0,14-03-2019
Hauts-Bassins,0,14-03-2019
Nord,5005,14-03-2019
Plateau Central,0,14-03-2019
Sahel,79436,14-03-2019
Sud-Ouest,0,14-03-2019
Boucle du Mouhoun,0,02-04-2019
Cascades,0,02-04-2019
Centre,431,02-04-2019
Centre-Est,0,02-04-2019
Centre-Nord,32542,02-04-2019
Centre-Ouest,0,02-04-2019
Centre-Sud,0,02-04-2019
Est,2529,02-04-2019
Hauts-Bassins,0,02-04-2019
Nord,5078,02-04-2019
Plateau Central,0,02-04-2019
Sahel,95009,02-04-2019
Sud-Ouest,0,02-04-2019
Boucle du Mouhoun,0,24-04-2019
Cascades,0,24-04-2019
Centre,431,24-04-2019
Centre-Est,0,24-04-2019
Centre-Nord,34786,24-04-2019
Centre-Ouest,0,24-04-2019
Centre-Sud,0,24-04-2019
Est,3158,24-04-2019
Hauts-Bassins,0,24-04-2019
Nord,5378,24-04-2019
Plateau Central,0,24-04-2019
Sahel,104781,24-04-2019
Sud-Ouest,0,24-04-2019
Boucle du Mouhoun,0,30-04-2019
Cascades,0,30-04-2019
Centre,431,30-04-2019
Centre-Est,0,30-04-2019
Centre-Nord,47469,30-04-2019
Centre-Ouest,0,30-04-2019
Centre-Sud,0,30-04-2019
Est,3158,30-04-2019
Hauts-Bassins,0,30-04-2019
Nord,5378,30-04-2019
Plateau Central,0,30-04-2019
Sahel,104781,30-04-2019
Sud-Ouest,0,30-04-2019
Boucle du Mouhoun,100,11-05-2019
Cascades,0,11-05-2019
Centre,431,11-05-2019
Centre-Est,0,11-05-2019
Centre-Nord,53973,11-05-2019
Centre-Ouest,0,11-05-2019
Centre-Sud,0,11-05-2019
Est,3158,11-05-2019
Hauts-Bassins,0,11-05-2019
Nord,5378,11-05-2019
Plateau Central,0,11-05-2019
Sahel,107407,11-05-2019
Sud-Ouest,0,11-05-2019
Boucle du Mouhoun,145,23-07-2019
Cascades,268,23-07-2019
Centre,1051,23-07-2019
Centre-Est,129,23-07-2019
Centre-Nord,82660,23-07-2019
Centre-Ouest,636,23-07-2019
Centre-Sud,101,23-07-2019
Est,3584,23-07-2019
Hauts-Bassins,558,23-07-2019
Nord,10058,23-07-2019
Plateau Central,2429,23-07-2019
Sahel,124689,23-07-2019
Sud-Ouest,241,23-07-2019
Boucle du Mouhoun,8577,14-08-2019
Cascades,268,14-08-2019
Centre,1051,14-08-2019
Centre-Est,145,14-08-2019
Centre-Nord,82660,14-08-2019
Centre-Ouest,636,14-08-2019
Centre-Sud,101,14-08-2019
Est,3584,14-08-2019
Hauts-Bassins,558,14-08-2019
Nord,10058,14-08-2019
Plateau Central,2429,14-08-2019
Sahel,127477,14-08-2019
Sud-Ouest,241,14-08-2019
Boucle du Mouhoun,8577,22-08-2019
Cascades,268,22-08-2019
Centre,1051,22-08-2019
Centre-Est,145,22-08-2019
Centre-Nord,109282,22-08-2019
Centre-Ouest,636,22-08-2019
Centre-Sud,101,22-08-2019
Est,3584,22-08-2019
Hauts-Bassins,558,22-08-2019
Nord,14361,22-08-2019
Plateau Central,2429,22-08-2019
Sahel,129559,22-08-2019
Sud-Ouest,241,22-08-2019
Boucle du Mouhoun,8577,06-09-2019
Cascades,268,06-09-2019
Centre,1051,06-09-2019
Centre-Est,145,06-09-2019
Centre-Nord,119798,06-09-2019
Centre-Ouest,636,06-09-2019
Centre-Sud,101,06-09-2019
Est,10293,06-09-2019
Hauts-Bassins,558,06-09-2019
Nord,14356,06-09-2019
Plateau Central,2573,06-09-2019
Sahel,130736,06-09-2019
Sud-Ouest,285,06-09-2019
Boucle du Mouhoun,8577,23-09-2019
Cascades,268,23-09-2019
Centre,1051,23-09-2019
Centre-Est,145,23-09-2019
Centre-Nord,119798,23-09-2019
Centre-Ouest,636,23-09-2019
Centre-Sud,101,23-09-2019
Est,10293,23-09-2019
Hauts-Bassins,558,23-09-2019
Nord,14356,23-09-2019
Plateau Central,2598,23-09-2019
Sahel,130925,23-09-2019
Sud-Ouest,285,23-09-2019
Boucle du Mouhoun,8588,02-10-2019
Cascades,268,02-10-2019
Centre,1051,02-10-2019
Centre-Est,145,02-10-2019
Centre-Nord,270476,02-10-2019
Centre-Ouest,635,02-10-2019
Centre-Sud,101,02-10-2019
Est,10293,02-10-2019
Hauts-Bassins,558,02-10-2019
Nord,31998,02-10-2019
Plateau Central,1222,02-10-2019
Sahel,160741,02-10-2019
Sud-Ouest,284,02-10-2019
Boucle du Mouhoun,8588,08-10-2019
Cascades,268,08-10-2019
Centre,1051,08-10-2019
Centre-Est,145,08-10-2019
Centre-Nord,270476,08-10-2019
Centre-Ouest,635,08-10-2019
Centre-Sud,101,08-10-2019
Est,10293,08-10-2019
Hauts-Bassins,558,08-10-2019
Nord,31998,08-10-2019
Plateau Central,1222,08-10-2019
Sahel,160741,08-10-2019
Sud-Ouest,284,08-10-2019
Boucle du Mouhoun,8737,31-12-2019
Cascades,268,31-12-2019
Centre,1051,31-12-2019
Centre-Est,555,31-12-2019
Centre-Nord,270476,31-12-2019
Centre-Ouest,635,31-12-2019
Centre-Sud,1773,31-12-2019
Est,17484,31-12-2019
Hauts-Bassins,3510,31-12-2019
Nord,38244,31-12-2019
Plateau Central,4718,31-12-2019
Sahel,212298,31-12-2019
Sud-Ouest,284,31-12-2019
Boucle du Mouhoun,10662,27-01-2020
Cascades,268,27-01-2020
Centre,1051,27-01-2020
Centre-Est,555,27-01-2020
Centre-Nord,316812,27-01-2020
Centre-Ouest,635,27-01-2020
Centre-Sud,1773,27-01-2020
Est,18329,27-01-2020
Hauts-Bassins,4011,27-01-2020
Nord,42396,27-01-2020
Plateau Central,4718,27-01-2020
Sahel,212298,27-01-2020
Sud-Ouest,284,27-01-2020
Boucle du Mouhoun,10662,17-02-2020
Cascades,268,17-02-2020
Centre,1051,17-02-2020
Centre-Est,13372,17-02-2020
Centre-Nord,357691,17-02-2020
Centre-Ouest,635,17-02-2020
Centre-Sud,1773,17-02-2020
Est,18329,17-02-2020
Hauts-Bassins,4011,17-02-2020
Nord,42396,17-02-2020
Plateau Central,5765,17-02-2020
Sahel,283046,17-02-2020
Sud-Ouest,384,17-02-2020
Sahel,310059,25-03-2020
Nord,62491,25-03-2020
Centre-Nord,386706,25-03-2020
Est,18329,25-03-2020
Plateau Central,12589,25-03-2020
Centre-Est,13372,25-03-2020
Centre-Sud,1773,25-03-2020
Boucle du Mouhoun,14548,25-03-2020
Hauts-Bassins,9788,25-03-2020
Cascades,5845,25-03-2020
Sud-Ouest,1362,25-03-2020
