survey_date,admin0,admin0_code,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total_idp,total_ret,ret_idp,ret_refugees,admin_origin
2019-01-30,MALI,MLI,Kayes,MLI01,Kayes,MLI0103,Kayes Commune,ML010312,9,0,NA,NA,Kayes
2019-01-30,MALI,MLI,Kayes,MLI01,Diema,MLI0102,Diema,ML010204,5,0,NA,NA,Kayes
2019-01-30,MALI,MLI,Kayes,MLI01,Kita,MLI0105,Kita Commune,ML010513,612,0,NA,NA,Kayes
2019-01-30,MALI,MLI,Kayes,MLI01,Nioro,MLI0106,Nioro Commune,ML010610,0,0,NA,NA,Kayes
2019-01-30,MALI,MLI,Koulikoro,MLI02,Koulikoro,MLI0206,Koulikoro Commune,ML020604,33,0,NA,NA,Koulikoro
2019-01-30,MALI,MLI,Koulikoro,MLI02,Dioila,MLI0202,Guegneka,ML020209,0,0,NA,NA,Koulikoro
2019-01-30,MALI,MLI,Koulikoro,MLI02,Kati,MLI0204,Kati Commune,ML020418,1129,0,NA,NA,Koulikoro
2019-01-30,MALI,MLI,Sikasso,MLI03,Yorosso,MLI0307,Yorosso,ML030709,0,0,NA,NA,Sikasso
2019-01-30,MALI,MLI,Sikasso,MLI03,Yanfolila,MLI0306,Baya,ML030601,0,0,NA,NA,Sikasso
2019-01-30,MALI,MLI,Sikasso,MLI03,Koutiala,MLI0304,Koutiala Commune,ML030416,17,0,NA,NA,Sikasso
2019-01-30,MALI,MLI,Sikasso,MLI03,Bougouni,MLI0301,Bougouni Commune,ML030102,0,0,NA,NA,Sikasso
2019-01-30,MALI,MLI,Sikasso,MLI03,Sikasso,MLI0305,SIKASSO Commune,ML030536,86,0,NA,NA,Sikasso
2019-01-30,MALI,MLI,Ségou,MLI04,Baroueli,MLI0401,Baraoueli,ML040101,0,0,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,Segou,MLI0406,Segou Commune,ML040626,541,0,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,Bla,MLI0402,Bla,ML040202,0,0,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,San,MLI0405,San Commune,ML040517,211,0,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,Niono,MLI0404,Niono,ML040406,6109,2906,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,Tominian,MLI0407,Tominian,ML040711,0,0,NA,NA,Ségou
2019-01-30,MALI,MLI,Ségou,MLI04,Macina,MLI0403,Macina,ML040305,865,167,NA,NA,Ségou
2019-01-30,MALI,MLI,Mopti,MLI05,Mopti,MLI0506,Mopti Commune,ML050609,1558,4524,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Bandiagara,MLI0501,Bandiagara Commune,ML050101,4835,3374,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Bankass,MLI0502,Bankass,ML050201,20014,0,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Youwarou,MLI0508,Youwarou,ML050807,43,3337,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Djenne,MLI0503,Djenne Commune,ML050303,6467,0,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Douentza,MLI0504,Douentza Commune,ML050406,1242,25896,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Koro,MLI0505,Koro,ML050512,17733,0,NA,NA,Mopti
2019-01-30,MALI,MLI,Mopti,MLI05,Tenenkou,MLI0507,Tenenkou Commune,ML050708,4603,3977,NA,NA,Mopti
2019-01-30,MALI,MLI,Tombouctou,MLI06,Tombouctou,MLI0605,Tombouctou,ML060506,10316,82119,NA,NA,Tombouctou
2019-01-30,MALI,MLI,Tombouctou,MLI06,Dire,MLI0601,Dire,ML060105,531,23628,NA,NA,Tombouctou
2019-01-30,MALI,MLI,Tombouctou,MLI06,Goundam,MLI0602,Goundam Commune,ML060208,4222,32081,NA,NA,Tombouctou
2019-01-30,MALI,MLI,Tombouctou,MLI06,Gourma-Rharous,MLI0603,Rharous,ML060308,4424,89649,NA,NA,Tombouctou
2019-01-30,MALI,MLI,Tombouctou,MLI06,Niafunke,MLI0604,Souboundou,MLI009004,1031,46507,NA,NA,Tombouctou
2019-01-30,MALI,MLI,Gao,MLI07,Gao,MLI0703,Gao,ML070303,10971,49898,NA,NA,Gao
2019-01-30,MALI,MLI,Gao,MLI07,Ansongo,MLI0701,Ansongo,ML070101,1019,65304,NA,NA,Gao
2019-01-30,MALI,MLI,Gao,MLI07,Bourem,MLI0702,Bourem,ML070202,9069,28678,NA,NA,Gao
2019-01-30,MALI,MLI,Menaka,MLI07,Menaka,MLI0704,Menaka,ML070403,12543,62276,NA,NA,Gao
2019-01-30,MALI,MLI,Kidal,MLI08,Kidal,MLI0802,Anefif,ML080201,131,1280,NA,NA,Kidal
2019-01-30,MALI,MLI,Kidal,MLI08,Tin-Essako,MLI0804,Tin Essako,ML080401,0,53,NA,NA,Kidal
2019-01-30,MALI,MLI,Kidal,MLI08,Abeibara,MLI0801,Abeibara,ML080101,59,385,NA,NA,Kidal
2019-01-30,MALI,MLI,Kidal,MLI08,Tessalit,MLI0803,Tessalit,ML080302,123,466,NA,NA,Kidal
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune I,ML090101,798,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune II,ML090102,278,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,ML090103,788,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,ML090104,386,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune V,ML090105,391,0,NA,NA,Bamako
2019-01-30,MALI,MLI,Bamako,MLI09,Bamako,MLI0901,Commune VI,ML090106,382,0,NA,NA,Bamako
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune I,MLI00900101,8736,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune II,MLI00900102,1620,0,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Abeibara,MLI0803,Abeibara,MLI00800301,1727,275,NA,NA,NA
2014-10-31,Mali,MLI,Kidal,MLI08,Tessalit,MLI0804,Tessalit,MLI00800403,3455,350,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune III,MLI00900103,4061,0,NA,NA,NA
2014-10-31,Mali,MLI,Bamako,MLI09,Bamako,MLI0901,Commune IV,MLI00900104,1895,0,NA,NA,NA
