Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-01-01,0.527, 1984,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-01-11,0.622, 1984,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-01-21,0.714, 1984,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-02-01,0.769, 1984,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-02-11,0.822, 1984,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-02-21,0.665, 1984,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-03-01,0.62, 1984,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-03-11,0.613, 1984,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-03-21,0.606, 1984,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-04-01,0.548, 1984,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-04-11,0.476, 1984,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-04-21,0.411, 1984,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-05-01,0.502, 1984,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-05-11,0.599, 1984,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-05-21,0.609, 1984,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-06-01,0.696, 1984,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-06-11,0.618, 1984,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-06-21,0.496, 1984,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-07-01,0.401, 1984,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-07-11,0.462, 1984,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-07-21,0.437, 1984,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-08-01,0.391, 1984,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-08-11,0.336, 1984,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-08-21,0.347, 1984,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-09-01,0.358, 1984,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-09-11,0.518, 1984,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-09-21,0.648, 1984,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-10-01,0.621, 1984,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-10-11,0.61, 1984,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-10-21,0.557, 1984,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-11-01,0.588, 1984,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-11-11,0.527, 1984,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-11-21,0.441, 1984,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-12-01,0.418, 1984,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-12-11,0.5, 1984,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1984-12-21,0.5, 1984,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-01-01,0.557, 1985,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-01-11,0.638, 1985,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-01-21,0.539, 1985,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-02-01,0.5, 1985,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-02-11,0.5, 1985,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-02-21,0.5, 1985,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-03-01,0.5, 1985,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-03-11,0.5, 1985,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-03-21,0.48, 1985,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-04-01,0.41, 1985,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-04-11,0.393, 1985,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-04-21,0.327, 1985,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-05-01,0.258, 1985,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-05-11,0.262, 1985,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-05-21,0.143, 1985,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-06-01,0.152, 1985,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-06-11,0.309, 1985,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-06-21,0.371, 1985,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-07-01,0.311, 1985,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-07-11,0.34, 1985,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-07-21,0.304, 1985,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-08-01,0.441, 1985,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-08-11,0.491, 1985,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-08-21,0.54, 1985,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-09-01,0.55, 1985,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-09-11,0.483, 1985,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-09-21,0.477, 1985,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-10-01,0.437, 1985,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-10-11,0.354, 1985,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-10-21,0.361, 1985,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-11-01,0.427, 1985,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-11-11,0.367, 1985,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-11-21,0.307, 1985,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-12-01,0.35, 1985,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-12-11,0.374, 1985,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1985-12-21,0.394, 1985,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-01-01,0.49, 1986,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-01-11,0.47, 1986,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-01-21,0.461, 1986,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-02-01,0.435, 1986,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-02-11,0.454, 1986,02,2, ,FAO-ASIS
