Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-01-01,0.577, 1984,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-01-11,0.628, 1984,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-01-21,0.642, 1984,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-02-01,0.638, 1984,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-02-11,0.649, 1984,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-02-21,0.662, 1984,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-03-01,0.638, 1984,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-03-11,0.689, 1984,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-03-21,0.76, 1984,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-04-01,0.827, 1984,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-04-11,0.765, 1984,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-04-21,0.723, 1984,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-05-01,0.674, 1984,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-05-11,0.646, 1984,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-05-21,0.74, 1984,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-06-01,0.755, 1984,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-06-11,0.799, 1984,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-06-21,0.844, 1984,06,3, ,FAO-ASIS
